HEATID,TAP_first,STARTTIME_first,DURATION_SEC,MW_mean,TEMP_mean,TEMP_p95,VALO2_mean,VALO2_p95,O2_AMOUNT_sum,GAS_AMOUNT_sum,O2_FLOW_mean,GAS_FLOW_mean
5F0110,11,2015-01-05 07:03:00,118200.0,4.6875,1634.75,1662.2,1031.0,1295.5,465432.0,155920.0,4334.50184501845,1290.261992619926
5F0111,12,2015-01-05 07:34:00,118800.0,5.71875,1649.5,1650.85,1104.0,1130.1,437833.0,141066.0,4074.330677290837,1279.9561752988047
5F0112,11,2015-01-05 08:21:00,116400.0,5.055555555555555,1648.6304347826087,1648.0,1136.1739130434783,1133.0,467264.0,167619.0,4323.351648351649,1340.9413919413919
5F0113,15,2015-01-05 09:45:00,114000.0,4.930555555555555,1637.5,1670.75,917.6666666666666,1159.5,404736.0,135067.0,4601.384297520661,1329.7727272727273
5F0114,11,2015-01-05 09:58:00,54000.0,5.453125,1678.5,1682.55,1001.5,1100.05,443042.0,147635.0,4512.852713178295,1331.1937984496124
5F0115,11,2015-01-05 11:10:00,111000.0,5.34375,1662.0,1662.0,1060.0,1060.0,415551.0,141141.0,4566.044354838709,1342.8387096774193
5F0116,11,2015-01-05 11:42:00,138600.0,6.65625,1642.5,1686.15,670.0,868.0,493686.0,161320.0,2649.556338028169,1043.274647887324
5F0117,14,2015-01-05 12:54:00,111600.0,4.35,1672.0,1683.0,905.6666666666666,1009.8,484974.0,165601.0,4630.934306569343,1313.0328467153286
5F0118,14,2015-01-05 13:29:00,132000.0,5.569444444444445,1689.0,1694.3,918.6666666666666,1006.1,492421.0,161974.0,2807.2926829268295,1079.7212543554008
5F0119,15,2015-01-05 14:32:00,126000.0,5.319444444444445,1658.0,1658.0,533.0,533.0,515359.0,179805.0,2784.254071661238,1081.6254071661238
5F0120,15,2015-01-05 15:20:00,127260.0,6.171875,1645.0,1645.0,486.0,486.0,424409.0,142777.0,3478.3269961977185,1136.2851711026617
5F0121,11,2015-01-05 16:22:00,127200.0,6.078125,1649.0,1658.6,493.75,512.35,384756.0,125785.0,3866.8991935483873,1127.9032258064517
5F0122,15,2015-01-05 17:32:00,140400.0,6.140625,1648.0,1648.0,435.0,435.0,511348.0,168033.0,3170.1875,1100.923611111111
5F0123,13,2015-01-05 18:07:00,132600.0,5.527777777777778,1648.75,1664.15,556.75,727.8499999999999,505011.0,176297.0,3446.3422818791946,1143.4362416107383
5F0124,11,2015-01-05 19:01:00,117540.0,5.578125,1666.0,1666.0,784.0,784.0,412770.0,140534.0,4575.76,1319.92
5F0125,11,2015-01-05 20:03:00,118920.0,4.575,1640.8,1666.0,649.4,784.0,488482.0,153930.0,4350.343511450382,1222.6870229007634
5F0126,11,2015-01-05 20:38:00,115140.0,4.425,1640.6,1660.0,203.8,554.8,387451.0,136405.0,4429.904166666666,1351.8041666666666
5F0127,12,2015-01-05 21:41:00,118260.0,4.045454545454546,1643.4285714285713,1664.7,291.57142857142856,580.2,517631.0,150468.0,4510.389891696751,1119.7148014440434
5F0128,11,2015-01-05 22:17:00,112260.0,3.5833333333333335,1673.0,1680.7,530.6666666666666,570.2,413146.0,136281.0,4373.926923076923,1236.1576923076923
5F0129,15,2015-01-05 23:19:00,124200.0,4.225,1649.0,1659.0,555.6,627.8,495956.0,173279.0,4120.649446494465,1262.830258302583
5F0130,13,2015-01-05 23:57:00,116400.0,4.861111111111111,1627.3333333333333,1650.0,331.3333333333333,427.09999999999997,427876.0,128483.0,4127.527131782946,1130.4728682170542
5F0131,11,2015-01-06 00:43:00,109800.0,5.083333333333333,1638.8,1657.2,373.6,503.2,477937.0,149834.0,4692.10780669145,1171.8550185873605
5F0132,12,2015-01-06 01:52:00,120060.0,5.796875,1640.0,1652.4,856.3333333333334,919.2,439430.0,149052.0,4031.797709923664,1298.206106870229
5F0133,11,2015-01-06 02:23:00,122400.0,3.8229166666666665,1647.0,1652.1,779.3333333333334,876.8,489747.0,176776.0,3593.88275862069,1273.6724137931035
5F0134,12,2015-01-06 03:34:00,108660.0,5.125,1654.25,1676.1,950.5,1218.25,586016.0,184694.0,4562.530821917808,1215.5479452054794
5F0135,15,2015-01-06 04:27:00,119460.0,5.78125,1646.0,1646.0,872.0,872.0,502519.0,171777.0,4039.0681003584227,1333.6810035842293
5F0136,15,2015-01-06 05:08:00,113400.0,4.96875,1639.2,1650.0,1149.4,1312.0,573631.0,173937.0,4444.765124555161,1276.2241992882562
5F0137,14,2015-01-06 06:20:00,133200.0,4.166666666666667,1604.2,1618.8,658.4,911.0,589086.0,196528.0,3869.5906040268455,1306.986577181208
5F0139,11,2015-01-06 08:14:00,135720.0,5.777777777777778,1667.0,1689.5,616.5,1143.45,456358.0,134488.0,2288.2883895131085,931.5393258426966
5F0140,12,2015-01-06 20:26:00,162000.0,2.467391304347826,1669.8333333333333,1692.0,584.1666666666666,1202.0,1442558.0,616034.0,1782.0168393782383,840.6062176165804
5F0141,11,2015-01-06 21:04:00,127200.0,5.90625,1649.0,1667.9,383.0,502.7,406144.0,135627.0,3405.0866141732286,1094.0511811023623
5F0143,11,2015-01-07 12:40:00,123000.0,5.921875,1650.25,1686.6,711.25,922.5999999999999,443263.0,165704.0,3920.5730337078653,1569.378277153558
5F0144,11,2015-01-07 13:33:00,127200.0,3.644230769230769,1647.0,1647.0,583.5,601.05,451453.0,172110.0,3813.114503816794,1560.4580152671756
5F0145,15,2015-01-07 14:46:00,126600.0,6.928571428571429,1644.0,1663.2,587.3333333333334,641.4,417202.0,156629.0,3729.8653846153848,1495.2692307692307
5F0146,11,2015-01-07 15:33:00,133200.0,4.975,1633.0,1645.25,657.8333333333334,866.5,465676.0,180881.0,4157.536121673003,1674.4144486692014
5F0148,11,2015-01-07 16:56:00,130800.0,6.171875,1638.3333333333333,1652.7,719.3333333333334,827.9,468866.0,176804.0,4125.913978494624,1514.953405017921
5F0149,11,2015-01-07 17:46:00,129000.0,4.85,1643.6666666666667,1667.3,564.0,679.2,472879.0,181865.0,4313.773722627737,1581.7299270072992
5F0150,13,2015-01-07 18:38:00,127200.0,5.430555555555555,1640.3333333333333,1651.3,479.6666666666667,561.7,418845.0,159480.0,4403.929133858268,1613.3740157480315
5F0151,15,2015-01-07 19:25:00,178800.0,4.340909090909091,1640.0,1648.1,695.5,791.35,416489.0,134414.0,2563.6615384615384,1071.173076923077
5F0152,15,2015-01-07 21:09:00,149340.0,5.888888888888889,1634.5,1655.75,662.5,806.75,559858.0,158292.0,2047.2525597269625,958.1569965870307
5F0153,14,2015-01-07 21:36:00,133800.0,6.0,1641.0,1663.1,531.3333333333334,659.4,448172.0,135783.0,2204.290566037736,1007.3320754716981
5F0154,15,2015-01-07 22:29:00,124740.0,5.796875,1652.6,1677.0,615.2,769.0,489902.0,145564.0,1952.9545454545455,935.3671328671329
5F0157,11,2015-01-08 00:44:00,132000.0,6.910714285714286,1626.6666666666667,1656.9,547.3333333333334,651.6,440153.0,119947.0,1854.861111111111,889.4920634920635
5F0158,11,2015-01-08 01:33:00,124200.0,5.152777777777778,1645.5,1655.85,694.0,764.2,471925.0,137692.0,2107.966911764706,988.6066176470588
5F0159,13,2015-01-08 02:47:00,69600.0,5.859375,1634.5,1647.55,597.0,680.7,506594.0,148304.0,2151.521126760563,1020.8274647887324
5F0160,13,2015-01-08 03:20:00,134460.0,3.5089285714285716,1628.5,1646.05,667.5,752.55,477065.0,138125.0,1966.7627737226278,940.9051094890511
5F0161,11,2015-01-08 04:13:00,126600.0,5.90625,1628.5,1646.95,512.5,584.05,419526.0,112901.0,1896.2579365079366,909.8452380952381
5F0162,11,2015-01-08 05:00:00,127800.0,6.046875,1637.0,1648.7,721.5,771.45,420157.0,112821.0,1969.394422310757,899.0119521912351
5F0163,11,2015-01-08 05:46:00,134400.0,6.484375,1651.4,1680.2,692.6,785.6,494583.0,114924.0,1683.9471698113207,801.0641509433963
5F0164,11,2015-01-08 06:35:00,129600.0,6.0625,1635.5,1657.55,600.0,723.3,452589.0,125434.0,1926.1722846441949,919.8913857677902
5F0165,11,2015-01-08 07:22:00,138000.0,5.1875,1626.25,1645.65,482.25,521.4,532473.0,137550.0,2767.401433691756,888.7813620071685
5F0166,15,2015-01-08 09:03:00,127200.0,3.4464285714285716,1638.6666666666667,1654.5,500.0,506.7,570133.0,187496.0,3495.7361963190183,1024.4969325153374
5F0167,11,2015-01-08 09:27:00,133200.0,4.975,1622.75,1636.95,447.75,578.05,450249.0,127218.0,4021.473880597015,967.1007462686567
5F0168,11,2015-01-08 10:26:00,140400.0,5.736111111111111,1646.0,1673.45,438.75,506.04999999999995,499977.0,148859.0,3617.0880281690143,987.1619718309859
5F0169,11,2015-01-08 11:19:00,135600.0,5.611111111111111,1632.0,1657.7,333.6666666666667,439.7,446675.0,136081.0,3931.7463235294117,1006.9963235294117
5F0170,13,2015-01-08 12:27:00,120000.0,4.85,1636.6666666666667,1665.3,505.0,531.0,571148.0,190743.0,3105.80118694362,974.8486646884273
5F0171,11,2015-01-08 13:17:00,139800.0,5.708333333333333,1633.75,1651.2,375.5,458.65,523023.0,144763.0,3870.31,864.9033333333333
5F0172,11,2015-01-08 14:10:00,120000.0,4.777777777777778,1639.75,1660.05,993.0,1230.8,494711.0,114572.0,3797.76,785.0072727272727
5F0173,11,2015-01-08 14:59:00,136200.0,5.666666666666667,1622.25,1642.45,653.25,679.0,463255.0,144107.0,3757.031914893617,1015.6843971631206
5F0174,11,2015-01-08 15:50:00,114000.0,4.791666666666667,1623.5,1652.25,978.8333333333334,1260.5,470123.0,101723.0,3475.610294117647,691.6764705882352
5F0176,11,2015-01-08 17:35:00,109200.0,5.0625,1654.75,1659.95,1212.0,1281.1,436455.0,120323.0,4752.714285714285,1168.546218487395
5F0177,11,2015-01-08 18:20:00,126000.0,3.216666666666667,1633.5,1643.85,1011.25,1085.2,611465.0,208475.0,3627.5062111801244,1253.2360248447205
5F0178,15,2015-01-08 19:20:00,119400.0,4.402777777777778,1644.0,1651.2,1136.5,1239.55,430037.0,123511.0,3514.845864661654,1020.7631578947369
5F0179,11,2015-01-08 20:08:00,118800.0,4.930555555555555,1628.3333333333333,1651.5,1134.3333333333333,1442.25,529814.0,133579.0,4164.040145985401,975.7262773722628
5F0181,11,2015-01-08 22:01:00,103800.0,4.90625,1664.0,1664.0,1277.0,1277.0,369382.0,90265.0,3016.4444444444443,878.3119658119658
5F0182,11,2015-01-08 22:43:00,126660.0,5.125,1649.6666666666667,1665.0,1162.0,1306.0,507443.0,112823.0,3244.9074733096086,744.9003558718862
5F0183,11,2015-01-08 23:32:00,141000.0,5.0625,1631.0,1648.3,745.0,785.2,532485.0,121224.0,3182.9225352112676,775.8204225352113
5F0185,11,2015-01-09 01:42:00,133260.0,4.75,1647.3333333333333,1678.1,948.0,1162.3,513287.0,155377.0,3546.419117647059,1144.5073529411766
5F0187,11,2015-01-09 03:22:00,122400.0,5.236111111111111,1628.6666666666667,1665.8,790.0,1003.9,433413.0,118826.0,2976.5772357723577,1017.0650406504066
5F0188,11,2015-01-09 04:33:00,129540.0,2.984375,1641.0,1651.8,375.0,422.7,658019.0,187566.0,2649.6380368098157,931.1441717791411
5F0189,11,2015-01-09 05:08:00,130800.0,3.96875,1612.5,1637.25,657.5,714.65,518245.0,142462.0,2781.762886597938,926.4707903780069
5F0190,11,2015-01-09 06:41:00,126000.0,5.9375,1629.5,1647.4,720.5,844.9999999999999,440745.0,122945.0,3376.6186770428017,1031.6614785992217
5F0191,11,2015-01-09 07:31:00,130800.0,6.25,1616.4,1662.2,506.8,698.4,468069.0,139024.0,3697.2992424242425,1088.0454545454545
5F0192,11,2015-01-09 08:19:00,134400.0,6.359375,1656.0,1706.8,581.4,773.1999999999999,450586.0,131851.0,3782.320895522388,1011.9253731343283
5F0193,14,2015-01-09 09:29:00,130200.0,6.015625,1646.0,1656.0,493.3333333333333,512.6,421409.0,138315.0,3830.1297709923665,1120.381679389313
5F0194,15,2015-01-09 10:24:00,127140.0,6.046875,1649.0,1666.1,492.0,577.5,414925.0,136542.0,3791.5263157894738,1098.6052631578948
5F0195,15,2015-01-09 11:12:00,134400.0,6.140625,1645.5,1653.15,408.0,462.9,452370.0,150964.0,3884.6236162361624,1118.0959409594095
5F0196,13,2015-01-09 11:45:00,125400.0,5.055555555555555,1661.0,1672.7,582.5,619.85,414918.0,147549.0,3668.690036900369,1167.8560885608856
5F0197,12,2015-01-09 12:56:00,136800.0,5.347222222222222,1648.0,1648.0,520.0,525.4,462504.0,150127.0,3766.1476014760146,1158.09963099631
5F0198,11,2015-01-09 13:26:00,132000.0,3.9895833333333335,1633.5,1645.65,525.0,561.9,451550.0,154606.0,3869.701818181818,1182.16
5F0199,11,2015-01-09 14:16:00,97200.0,4.9,1663.0,1671.1,616.5,688.95,494784.0,168382.0,3635.8,1136.3525423728813
